unique_id,level_of_study,gp,number_of_F,number_of_E,number_of_D,number_of_C,number_of_B,number_of_A,average_grade,grade_variation,delta_gp,cumulative_std_gp,previous_gp,next_gp
63378,500.0,2.25,0.0,0.0,2.0,1.0,0.0,0.0,2.3333333333333335,0.5773502691896257,-1.7499999999999996,0.8027313068645124,3.9999999999999996,2.25
63540,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
63540,200.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,2.6,1.9493588689617927,1.0,0.7071067811865476,2.0,3.0
63540,300.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,3.25,1.0350983390135313,0.0,0.5773502691896258,3.0,3.1666666666666665
63540,400.0,3.1666666666666665,0.0,0.0,0.0,2.0,1.0,0.0,3.3333333333333335,0.5773502691896257,0.16666666666666652,0.5335936864527374,3.0,2.875
63540,500.0,2.875,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,-0.2916666666666665,0.46360603485670415,3.1666666666666665,2.875
63704,100.0,3.333333333333333,0.0,0.0,0.0,3.0,2.0,0.0,3.4,0.5477225575051662,0.0,0.0,0.0,3.6000000000000005
63704,200.0,3.6000000000000005,0.0,0.0,0.0,2.0,2.0,0.0,3.5,0.5773502691896257,0.2666666666666675,0.18856180831641325,3.333333333333333,4.375
63704,300.0,4.375,0.0,0.0,0.0,1.0,1.0,2.0,4.25,0.9574271077563382,0.7749999999999995,0.5411108259182458,3.6000000000000005,4.833333333333333
63704,400.0,4.833333333333333,0.0,0.0,0.0,0.0,1.0,2.0,4.666666666666667,0.5773502691896258,0.45833333333333304,0.6914951259837333,4.375,4.8125
63704,500.0,4.8125,0.0,0.0,0.0,0.0,1.0,5.0,4.833333333333333,0.40824829046386313,-0.020833333333333037,0.6923841660042013,4.833333333333333,4.8125
63866,100.0,1.4736842105263157,3.0,1.0,1.0,1.0,2.0,0.0,1.75,1.7525491637693282,0.0,0.0,0.0,1.8333333333333333
63866,200.0,1.8333333333333333,0.0,2.0,0.0,1.0,1.0,0.0,2.25,1.5,0.35964912280701755,0.2543103335846355,1.4736842105263157,2.0
63866,300.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.16666666666666674,0.2689899563065948,1.8333333333333333,2.111111111111111
63866,400.0,2.111111111111111,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.11111111111111116,0.2783811544734407,2.0,1.8333333333333333
63866,500.0,1.8333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,-0.2777777777777779,0.24127148289140837,2.111111111111111,1.8333333333333333
64044,100.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.6666666666666665
64044,200.0,3.6666666666666665,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.6666666666666665,0.47140452079103173,3.0,1.625
64044,300.0,1.625,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.4142135623730951,-2.0416666666666665,1.0411109628838977,3.6666666666666665,3.0
64044,400.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.375,0.8582220801685825,1.625,2.25
64044,500.0,2.25,1.0,1.0,0.0,0.0,1.0,0.0,1.6666666666666667,2.0816659994661326,-0.75,0.7861650943380502,3.0,2.25
64212,100.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.6666666666666665
64212,200.0,2.6666666666666665,0.0,0.0,1.0,1.0,0.0,0.0,2.5,0.7071067811865476,-0.3333333333333335,0.23570226039551578,3.0,3.466666666666667
64212,300.0,3.466666666666667,0.0,0.0,1.0,2.0,2.0,1.0,3.5,1.0488088481701516,0.8000000000000003,0.4018475848894474,2.6666666666666665,5.0
64212,400.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.5333333333333332,1.0313601231886482,3.466666666666667,3.0
64212,500.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.8257418583505538,-2.0,0.924481836850604,5.0,3.0
64372,100.0,2.1999999999999997,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,1.6666666666666665
64372,200.0,1.6666666666666665,1.0,1.0,1.0,2.0,0.0,0.0,1.8,1.3038404810405297,-0.5333333333333332,0.3771236166328253,2.1999999999999997,2.125
64372,300.0,2.125,0.0,2.0,0.0,0.0,2.0,0.0,2.5,1.7320508075688772,0.4583333333333335,0.2887152255796038,1.6666666666666665,1.0
64372,400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.125,0.5515288095628167,2.125,1.0
64536,100.0,2.6666666666666665,0.0,1.0,1.0,1.0,1.0,0.0,2.5,1.2909944487358056,0.0,0.0,0.0,2.333333333333333
64536,200.0,2.333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.8284271247461903,-0.3333333333333335,0.2357022603955161,2.6666666666666665,3.3636363636363633
64536,300.0,3.3636363636363633,0.0,0.0,0.0,3.0,2.0,1.0,3.6666666666666665,0.816496580927726,1.0303030303030303,0.5257379264514385,2.333333333333333,1.6666666666666665
64536,400.0,1.6666666666666665,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,-1.6969696969696968,0.7060779466375401,3.3636363636363633,3.2857142857142856
64536,500.0,3.2857142857142856,0.0,0.0,0.0,2.0,1.0,0.0,3.3333333333333335,0.5773502691896258,1.619047619047619,0.7035690896000426,1.6666666666666665,3.2857142857142856
64710,100.0,1.7142857142857142,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.7320508075688772,0.0,0.0,0.0,1.8000000000000003
64710,200.0,1.8000000000000003,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.7320508075688772,0.08571428571428608,0.06060915267313298,1.7142857142857142,2.333333333333333
64710,300.0,2.333333333333333,1.0,2.0,0.0,3.0,2.0,0.0,2.375,1.5059406173077154,0.5333333333333328,0.335413013529211,1.8000000000000003,1.5
64710,400.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,1.5,0.7071067811865476,-0.833333333333333,0.35418617393256413,2.333333333333333,3.0
64710,500.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.5,0.6038575915973112,1.5,3.0
64884,200.0,3.4285714285714284,0.0,0.0,1.0,1.0,1.0,1.0,3.5,1.2909944487358056,0.0,0.0,0.0,4.2
64884,300.0,4.2,0.0,0.0,1.0,1.0,0.0,3.0,4.0,1.4142135623730951,0.7714285714285718,0.5454823740581942,3.4285714285714284,4.0
64884,400.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,-0.20000000000000018,0.4003399915615946,4.2,4.7142857142857135
64884,500.0,4.7142857142857135,0.0,0.0,0.0,0.0,1.0,2.0,4.666666666666667,0.5773502691896257,0.7142857142857135,0.5314592925068078,4.0,4.7142857142857135
65014,100.0,4.4,0.0,0.0,0.0,0.0,1.0,1.0,4.5,0.7071067811865476,0.0,0.0,0.0,3.2857142857142856
65014,200.0,3.2857142857142856,0.0,0.0,0.0,4.0,1.0,0.0,3.2,0.447213595499958,-1.1142857142857148,0.7879189847507247,4.4,4.0
65014,300.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,3.75,0.9574271077563381,0.7142857142857144,0.5644815814376172,3.2857142857142856,2.7333333333333334
65014,500.0,2.7333333333333334,0.0,1.0,2.0,1.0,2.0,0.0,2.6666666666666665,1.2110601416389966,-1.2666666666666666,0.7415739833550768,4.0,2.7333333333333334
65172,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.9285714285714284
65172,300.0,1.9285714285714284,0.0,4.0,1.0,0.0,3.0,0.0,2.25,1.4880476182856899,-0.07142857142857162,0.05050762722761067,2.0,2.833333333333333
65172,400.0,2.833333333333333,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.816496580927726,0.9047619047619047,0.5030143453171688,1.9285714285714284,1.5833333333333333
65172,500.0,1.5833333333333333,0.0,3.0,1.0,1.0,0.0,0.0,1.6,0.8944271909999159,-1.2499999999999998,0.5302075885194951,2.833333333333333,1.5833333333333333
65346,100.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.4142135623730951,0.0,0.0,0.0,2.0
65346,200.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.25,2.217355782608345,-1.0,0.7071067811865476,3.0,2.5
65346,300.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,0.5,0.5,2.0,1.857142857142857
65346,400.0,1.857142857142857,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,-0.642857142857143,0.5195988772094094,2.5,1.2666666666666666
65346,500.0,1.2666666666666666,1.0,4.0,0.0,1.0,0.0,0.0,1.1666666666666667,0.9831920802501751,-0.5904761904761904,0.6577154165450266,1.857142857142857,1.2666666666666666
65534,100.0,4.571428571428571,0.0,0.0,0.0,0.0,1.0,2.0,4.666666666666667,0.5773502691896257,0.0,0.0,0.0,5.0
65534,200.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.4285714285714288,0.3030457633656634,4.571428571428571,3.0
65534,300.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,-2.0,1.0530163994045705,5.0,3.333333333333333
65534,400.0,3.333333333333333,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.4142135623730951,0.33333333333333304,0.9606781429443818,3.0,2.6923076923076925
65534,500.0,2.6923076923076925,0.0,1.0,2.0,3.0,1.0,0.0,2.5714285714285716,0.9759000729485332,-0.6410256410256405,1.0108649124875295,3.333333333333333,2.6923076923076925
65700,100.0,2.583333333333333,0.0,2.0,1.0,0.0,1.0,1.0,2.6,1.816590212458495,0.0,0.0,0.0,2.142857142857143
65700,200.0,2.142857142857143,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.1547005383792515,-0.44047619047619024,0.3114637012369316,2.583333333333333,1.909090909090909
65700,300.0,1.909090909090909,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.8257418583505536,-0.23376623376623384,0.34236159565435303,2.142857142857143,1.6363636363636362
65700,400.0,1.6363636363636362,1.0,2.0,1.0,1.0,1.0,0.0,1.8333333333333333,1.4719601443879746,-0.2727272727272727,0.40113757173217107,1.909090909090909,2.0
65700,500.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.7071067811865476,0.36363636363636376,0.3487203769694188,1.6363636363636362,2.0
65870,100.0,2.875,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.7320508075688772,0.0,0.0,0.0,3.75
65870,200.0,3.75,0.0,0.0,1.0,1.0,0.0,2.0,3.75,1.4999999999999998,0.875,0.6187184335382291,2.875,4.2
65870,300.0,4.2,0.0,0.0,0.0,0.0,1.0,1.0,4.5,0.7071067811865476,0.4500000000000002,0.6737643010232387,3.75,4.0
65870,400.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,-0.20000000000000018,0.5839431336468761,4.2,3.6
65870,500.0,3.6,0.0,0.0,1.0,0.0,2.0,1.0,3.75,1.2583057392117916,-0.3999999999999999,0.5079370039680119,4.0,3.6
66032,100.0,1.7,0.0,2.0,1.0,1.0,0.0,0.0,1.75,0.9574271077563381,0.0,0.0,0.0,3.2857142857142856
66032,200.0,3.2857142857142856,0.0,0.0,1.0,1.0,1.0,1.0,3.5,1.2909944487358056,1.5857142857142856,1.1212693244529537,1.7,1.4444444444444444
66032,300.0,1.4444444444444444,0.0,3.0,0.0,1.0,0.0,0.0,1.5,1.0,-1.8412698412698412,0.9975029712790785,3.2857142857142856,4.0
66032,400.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.5555555555555554,1.2349474126937234,1.4444444444444444,2.1666666666666665
66032,500.0,2.1666666666666665,0.0,5.0,1.0,1.0,2.0,0.0,2.0,1.3228756555322954,-1.8333333333333335,1.0875178790779418,4.0,2.1666666666666665
66192,100.0,1.1428571428571428,1.0,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,1.5275252316519468,0.0,0.0,0.0,3.0
66192,200.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.8571428571428572,1.3131983079178742,1.1428571428571428,3.6818181818181817
66192,300.0,3.6818181818181817,0.0,1.0,0.0,4.0,3.0,2.0,3.5,1.1785113019775793,0.6818181818181817,1.3140382276438731,3.0,2.6666666666666665
66192,400.0,2.6666666666666665,0.0,1.0,1.0,1.0,2.0,0.0,2.8,1.3038404810405297,-1.0151515151515151,1.073305562151138,3.6818181818181817,1.6666666666666665
66192,500.0,1.6666666666666665,0.0,3.0,0.0,2.0,0.0,0.0,1.8,1.0954451150103321,-1.0,1.0231521827412486,2.6666666666666665,1.6666666666666665
66356,100.0,4.5,0.0,0.0,0.0,0.0,1.0,1.0,4.5,0.7071067811865476,0.0,0.0,0.0,4.166666666666666
66356,200.0,4.166666666666666,0.0,0.0,0.0,1.0,3.0,2.0,4.166666666666667,0.752772652709081,-0.3333333333333339,0.23570226039551626,4.5,4.75
66356,300.0,4.75,0.0,0.0,0.0,0.0,1.0,2.0,4.666666666666667,0.5773502691896257,0.5833333333333339,0.2926570486903541,4.166666666666666,4.25
66356,400.0,4.25,0.0,0.0,0.0,1.0,0.0,2.0,4.333333333333333,1.1547005383792517,-0.5,0.2635231383473651,4.75,4.142857142857142
66356,500.0,4.142857142857142,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,-0.10714285714285765,0.2589935605359584,4.25,4.142857142857142
66514,100.0,3.375,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.6457513110645907,0.0,0.0,0.0,2.4545454545454546
66514,200.0,2.4545454545454546,0.0,2.0,1.0,1.0,1.0,1.0,2.6666666666666665,1.632993161855452,-0.9204545454545454,0.6508596508648905,3.375,1.4285714285714284
66514,300.0,1.4285714285714284,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,-1.0259740259740262,0.9736908694836329,2.4545454545454546,3.0
66514,400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.5714285714285716,0.8463636369863835,1.4285714285714284,2.6
66514,500.0,2.6,0.0,0.0,3.0,0.0,0.0,1.0,2.75,1.5,-0.3999999999999999,0.7331440443359817,3.0,2.6
